iter	RMSE
0	0.9559838265
1	0.9465334686
2	0.9371724884
3	0.9276664808
4	0.9168167305
5	0.9089723427
6	0.9001127161
7	0.8894642392
8	0.8789190754
9	0.8696685014
10	0.8621367317
11	0.8529099619
12	0.846092346
13	0.8387165688
14	0.8298752328
15	0.8232843628
16	0.8149384408
17	0.8077703682
18	0.801334578
19	0.7948855812
20	0.785803507
21	0.7781208109
22	0.7716318383
23	0.7641167537
24	0.7570707083
25	0.7501778707
26	0.7438153227
27	0.7368294822
28	0.7300716466
29	0.7240769539
30	0.7183235678
31	0.711802306
32	0.7046329886
33	0.70013625
34	0.6947097126
35	0.6886531748
36	0.6823396095
37	0.676618864
38	0.6698445174
39	0.6645914446
40	0.6593293923
41	0.6544608269
42	0.6497921254
43	0.6434498222
44	0.6387916474
45	0.6326862753
46	0.6278991112
47	0.6219099817
48	0.6171009949
49	0.6128496728
50	0.608792587
51	0.6043141874
52	0.5992423466
53	0.5962523684
54	0.5916829248
55	0.5891079157
56	0.5844978966
57	0.5802246325
58	0.5765872462
59	0.5723928156
60	0.5673700763
61	0.5634559767
62	0.5598329523
63	0.55557321
64	0.5501017547
65	0.5457844081
66	0.5424625629
67	0.537574352
68	0.5343874764
69	0.5304161258
70	0.5264830901
71	0.5226486161
72	0.5188332463
73	0.5162172343
74	0.5122243996
75	0.5096812952
76	0.5050944085
77	0.5014562163
78	0.4973560135
79	0.4934659036
80	0.4900572717
81	0.4870722755
82	0.4839336259
83	0.4825483817
84	0.4795968817
85	0.4763517512
86	0.4742144818
87	0.4709978501
88	0.467635697
89	0.465631793
90	0.4629548969
91	0.4602803114
92	0.4571695267
93	0.4554903507
94	0.4537025429
95	0.4509249172
96	0.4480125549
97	0.4458060129
98	0.4432426363
99	0.441819786
100	0.438710853
101	0.4354231923
102	0.4328232085
103	0.4303602042
104	0.4281503924
105	0.4244306394
106	0.4224930973
107	0.4191393937
108	0.4165941131
109	0.4144060029
110	0.411990292
111	0.4087305737
112	0.406333156
113	0.4035194375
114	0.4012782657
115	0.3988238798
116	0.3957406502
117	0.3937954471
118	0.3927681834
119	0.3902264806
120	0.3877869276
121	0.3863919779
122	0.3851142
123	0.3818228602
124	0.3791987418
125	0.3768214937
126	0.3748014789
127	0.3727837422
128	0.3710952293
129	0.3689759291
130	0.3667493029
131	0.3652737864
132	0.3635667833
133	0.3611387115
134	0.3593776752
135	0.3580221926
136	0.3565306093
137	0.3550585623
138	0.3538169347
139	0.3527267505
140	0.3508788673
141	0.3489170126
142	0.3472565463
143	0.3458050413
144	0.3444209758
145	0.3427446518
146	0.3409132341
147	0.3400171186
148	0.3385469903
149	0.3369191039
150	0.3359709352
151	0.3342632145
152	0.3325074359
153	0.3316858154
154	0.3307775146
155	0.3288002605
156	0.3273689776
157	0.3251464067
158	0.3237909153
159	0.3220010887
160	0.3206965449
161	0.3195746295
162	0.3174758853
163	0.3161030807
164	0.3146250778
165	0.313212753
166	0.3116448299
167	0.3103249163
168	0.3093110489
169	0.308555158
170	0.3075762601
171	0.3061217354
172	0.3050500819
173	0.3036106533
174	0.302166707
175	0.3013780422
176	0.3004336799
177	0.2989104988
178	0.2980205197
179	0.2971018374
180	0.2955799823
181	0.2945609249
182	0.2936846508
183	0.2927520892
184	0.2919406388
185	0.2910103024
186	0.2903026129
