iter	Passed	Remaining
0	69	69205
1	69	34839
2	70	23395
3	70	17643
4	71	14218
5	72	11936
6	72	10289
7	73	9102
8	73	8142
9	74	7371
10	74	6737
11	75	6203
12	75	5753
13	76	5376
14	76	5047
15	77	4753
16	77	4496
17	78	4270
18	78	4063
19	79	3877
20	79	3707
21	80	3563
22	80	3424
23	81	3294
24	81	3176
25	81	3066
26	82	2966
27	82	2871
28	83	2789
29	83	2709
30	84	2630
31	84	2556
32	84	2488
33	85	2425
34	85	2364
35	86	2306
36	86	2252
37	87	2203
38	87	2154
39	87	2108
40	88	2063
41	88	2020
42	88	1980
43	89	1941
44	89	1903
45	90	1868
46	90	1835
47	90	1803
48	91	1770
49	91	1740
50	92	1713
51	92	1686
52	92	1659
53	93	1635
54	93	1611
55	94	1586
56	94	1562
57	94	1541
58	95	1520
59	95	1499
60	96	1479
61	96	1459
62	96	1440
63	97	1424
64	97	1408
65	98	1391
66	98	1377
67	99	1363
68	99	1348
69	100	1335
70	101	1321
71	101	1308
72	102	1295
73	102	1283
74	103	1280
75	104	1268
76	104	1255
77	105	1242
78	105	1230
79	106	1219
80	106	1207
81	106	1196
82	107	1186
83	107	1175
84	108	1163
85	108	1152
86	109	1145
87	109	1136
88	110	1128
89	110	1117
90	110	1108
91	111	1098
92	111	1089
93	112	1079
94	112	1070
95	112	1062
96	113	1053
97	113	1043
98	113	1034
99	114	1027
100	114	1019
101	115	1012
102	115	1004
103	115	997
104	116	990
105	116	983
106	117	976
107	117	969
108	117	963
109	118	956
110	118	949
111	119	944
112	119	938
113	119	932
114	120	926
115	120	920
116	121	916
117	121	911
118	122	905
119	122	899
120	123	894
121	123	888
122	124	884
123	124	880
124	125	875
125	125	871
126	126	866
127	126	862
128	127	858
129	127	853
130	127	848
131	128	843
132	128	839
133	129	834
134	129	831
135	130	828
136	130	824
137	131	820
138	131	816
139	132	813
140	132	808
141	133	804
142	133	801
143	134	798
144	134	795
145	135	790
146	135	787
147	136	784
148	136	780
149	137	776
150	137	772
151	137	768
152	138	765
153	138	761
154	139	758
155	139	755
156	139	751
157	140	748
158	141	745
159	141	743
160	142	740
161	142	737
162	142	733
163	143	730
164	143	727
165	144	725
166	144	722
167	145	720
168	145	717
169	146	714
170	146	711
171	147	709
172	147	706
173	148	703
174	148	701
175	149	698
176	149	695
177	150	692
178	150	690
179	150	687
180	151	685
181	151	682
182	152	680
183	152	677
184	153	675
185	153	672
186	154	670
187	154	667
188	154	664
189	155	662
190	155	660
191	156	658
