iter	RMSE
0	0.7853385992
1	0.7795802108
2	0.7723207815
3	0.7646363006
4	0.7575023427
5	0.7524049254
6	0.7454825355
7	0.7381818614
8	0.730685564
9	0.7237525461
10	0.7168047465
11	0.710181016
12	0.7042004168
13	0.6983160056
14	0.6912169144
15	0.6852205783
16	0.6784404984
17	0.6724727944
18	0.6672682379
19	0.6619949133
20	0.6555918486
21	0.6493772184
22	0.6441710779
23	0.6388117499
24	0.6329711316
25	0.6283013997
26	0.6235023162
27	0.6180936712
28	0.6132287949
29	0.6080023965
30	0.6029416916
31	0.5979075882
32	0.5917444054
33	0.5875273781
34	0.5821082026
35	0.5774032491
36	0.5718519776
37	0.5676674965
38	0.5626548162
39	0.5574586524
40	0.5525556173
41	0.5483144987
42	0.5433447276
43	0.5386732038
44	0.5345814468
45	0.5299981608
46	0.5259189614
47	0.5219033283
48	0.5179404296
49	0.5134861794
50	0.5093946811
51	0.5051621031
52	0.5010852075
53	0.4973417381
54	0.4931068187
55	0.4901252408
56	0.4853861551
57	0.4810489107
58	0.4766139007
59	0.4722931951
60	0.4684488443
61	0.4640712254
62	0.4599511206
63	0.456657771
64	0.4539352718
65	0.4508810883
66	0.4481328987
67	0.4452637529
68	0.4417137153
69	0.4385593582
70	0.434299307
71	0.4301746538
72	0.4275708396
73	0.4240885454
74	0.4214487546
75	0.4179426004
76	0.4150644852
77	0.4123758976
78	0.409287471
79	0.4063068016
80	0.4034680517
81	0.4006334335
82	0.3978211893
83	0.3946244551
84	0.391860343
85	0.3890921174
86	0.3858592343
87	0.382851839
88	0.3802483746
89	0.3782313482
90	0.3755257811
91	0.3728043107
92	0.3704100544
93	0.367850359
94	0.3649739143
95	0.3620201116
96	0.3598138928
97	0.3585800194
98	0.3553413868
99	0.3528865495
100	0.3505952934
101	0.3481887863
102	0.3460796001
103	0.3444594319
104	0.342066376
105	0.3394949147
106	0.3372112265
107	0.3352071794
108	0.3329528949
109	0.3310861795
110	0.3290877068
111	0.3269153496
112	0.3251666722
113	0.323422098
114	0.3218692732
115	0.3198664733
116	0.3180425562
117	0.3163910527
118	0.3144989187
119	0.3127935691
120	0.3103760175
121	0.3088750836
122	0.3069543613
123	0.3055848269
124	0.3037526586
125	0.3019275885
126	0.3006872317
127	0.2992970017
128	0.2975300589
129	0.2955008258
130	0.2936379356
131	0.2919028327
132	0.2904744005
133	0.2882363485
134	0.2865388944
135	0.284685628
136	0.2832255921
137	0.2817102342
138	0.2802446665
139	0.2788572876
140	0.2776384992
141	0.276303932
142	0.2749391848
143	0.2733112523
144	0.2718323069
145	0.2706748774
146	0.2695899823
147	0.2681640192
148	0.2667867594
149	0.2648451446
150	0.2633288155
151	0.2620521576
152	0.2607126709
153	0.2595477748
