iter	RMSE
0	0.9989784411
1	0.9887586711
2	0.978630498
3	0.967751367
4	0.9540337029
5	0.9450397603
6	0.9315384855
7	0.9184055817
8	0.9070428364
9	0.8950143266
10	0.8829119013
11	0.8694869279
12	0.8586914548
13	0.8506410848
14	0.8401671659
15	0.8300646419
16	0.8212977192
17	0.8122006507
18	0.8048704788
19	0.7955967532
20	0.7841607616
21	0.7756948525
22	0.7669915924
23	0.7579465415
24	0.7478393828
25	0.7387062048
26	0.7310871793
27	0.7246329486
28	0.7174489001
29	0.7091258668
30	0.7006824179
31	0.6924513952
32	0.6859444869
33	0.6781252811
34	0.6712750356
35	0.6627969944
36	0.6541233591
37	0.6472210481
38	0.6408947969
39	0.6333688928
40	0.6269312299
41	0.6191320431
42	0.6121467228
43	0.6055941803
44	0.6023244527
45	0.5948715715
46	0.5868172806
47	0.5808520299
48	0.5750777939
49	0.5697867563
50	0.5655957866
51	0.5590015665
52	0.5522174569
53	0.545927318
54	0.539030669
55	0.5341018231
56	0.5276293362
57	0.5210386014
58	0.5148757286
59	0.5080984705
60	0.5021521431
61	0.4969063015
62	0.4943419317
63	0.4880709579
64	0.4834966763
65	0.4784385129
66	0.4730596388
67	0.4681360702
68	0.4623263149
69	0.4565339499
70	0.4525311293
71	0.4500948794
72	0.4443078807
73	0.4399751778
74	0.4353476868
75	0.4301851514
76	0.4255007222
77	0.4197026851
78	0.4149820973
79	0.4100553346
80	0.4066333924
81	0.4021154934
82	0.3977496909
83	0.3937703269
84	0.3899984168
85	0.385677073
86	0.3826034552
87	0.3788638881
88	0.3754317653
89	0.3721017476
90	0.3682406137
91	0.3648645115
92	0.3619817217
93	0.3586178658
94	0.3548213934
95	0.3513616291
96	0.347784042
97	0.3445596274
98	0.3408114445
99	0.3372779699
100	0.3334550701
101	0.3298064958
102	0.325480844
103	0.3231496311
104	0.3205851299
105	0.3181685082
106	0.3147557001
107	0.3114274644
108	0.3084375651
109	0.3054468964
110	0.3024713001
111	0.2990540519
112	0.2963368859
113	0.2936542235
114	0.290237114
115	0.2878894834
116	0.2847110224
117	0.2821983125
118	0.2797747812
119	0.2768910587
120	0.2739066705
121	0.2718597375
122	0.2697841643
123	0.2673125914
124	0.2641976684
125	0.2615383642
126	0.2591996135
