iter	RMSE
0	0.9509368095
1	0.9412857384
2	0.931304437
3	0.9221377868
4	0.9127945015
5	0.904108629
6	0.896389693
7	0.8883472125
8	0.8777464916
9	0.8678995788
10	0.859655786
11	0.8494325864
12	0.8424966687
13	0.8340911781
14	0.8235855866
15	0.8162564217
16	0.8086505117
17	0.8011798457
18	0.7931237469
19	0.7853800104
20	0.7758634804
21	0.7676306987
22	0.7601036679
23	0.7532596462
24	0.7460210916
25	0.7399837234
26	0.7333920272
27	0.7285074986
28	0.7217015045
29	0.7151808193
30	0.70999848
31	0.704727034
32	0.6977920472
33	0.6928377725
34	0.686718782
35	0.6814946017
36	0.6752350895
37	0.6695750372
38	0.6627930315
39	0.6563538105
40	0.6503353697
41	0.6446036854
42	0.6393619855
43	0.6326297033
44	0.6284737835
45	0.6223826341
46	0.6171799416
47	0.6131419888
48	0.608007429
49	0.6035649588
50	0.5986214921
51	0.5932934913
52	0.587887731
53	0.5845438359
54	0.5802192205
55	0.5751114973
56	0.5698666523
57	0.5653704287
58	0.5611521699
59	0.5564692028
60	0.5521567538
61	0.5479467918
62	0.5424486438
63	0.5382169841
64	0.5335575617
65	0.5294545231
66	0.526407749
67	0.5224242699
68	0.5178562215
69	0.5136086478
70	0.5101796827
71	0.505829455
72	0.5021637463
73	0.4978180461
74	0.4936418985
75	0.4902492928
76	0.486426322
77	0.4837190715
78	0.4795234817
79	0.4759058302
80	0.4718336825
81	0.4689654001
82	0.4660676878
83	0.4636510603
84	0.4605892563
85	0.456986933
86	0.454542416
87	0.4516084466
88	0.4481538763
89	0.4453417182
90	0.441985087
91	0.4391401408
92	0.4356651514
93	0.4328966276
94	0.4300665084
95	0.4262679084
96	0.4235628897
97	0.4208629425
98	0.4181621251
99	0.4148521465
100	0.4120641551
101	0.4105524353
102	0.4088828331
103	0.4060218104
104	0.4043558016
105	0.4017848098
106	0.3987730844
107	0.3958376719
108	0.3933980193
109	0.390893733
110	0.3887095454
111	0.3868481816
112	0.384050206
113	0.381466524
114	0.3784750737
115	0.3761971056
116	0.373776758
117	0.3713412402
118	0.3684503215
119	0.3663427057
120	0.3645924831
121	0.362411859
122	0.3606564242
123	0.358631294
124	0.3566013566
125	0.3553126219
126	0.3536368717
127	0.3516587994
128	0.349523877
129	0.347339955
130	0.3456663583
131	0.3436340144
132	0.3417621013
133	0.339603526
134	0.3374164567
135	0.3351553016
136	0.3329828349
137	0.3315758104
138	0.3300001255
139	0.3277535467
140	0.3258877523
141	0.3242680346
142	0.3224337953
143	0.3202179312
144	0.3193834076
145	0.3172791843
146	0.3155034945
147	0.3135399208
148	0.3117523974
149	0.309727097
150	0.3081133114
151	0.3064679693
152	0.3049060631
153	0.3038605314
154	0.3026692905
155	0.3008184227
156	0.299369352
157	0.2984115525
158	0.2966145296
159	0.2950610126
160	0.2940117553
161	0.292952474
162	0.2913490931
163	0.2900035414
164	0.2890421232
165	0.2881961097
166	0.2866267143
167	0.2853153855
168	0.284892169
169	0.2834171962
170	0.2817449029
171	0.2797644758
172	0.2784830782
173	0.2776033007
174	0.2761970997
175	0.2749851774
176	0.2744247918
177	0.2728966701
178	0.2719272941
179	0.2703743311
180	0.2693336513
181	0.26778004
182	0.2660910174
183	0.2649392232
184	0.2641066913
185	0.263547116
186	0.2621980125
187	0.2609770156
188	0.2593111535
189	0.2577656306
190	0.257002283
191	0.2557854427
192	0.25439883
193	0.2537763615
194	0.252738271
195	0.2522135867
196	0.2514737988
197	0.2496978721
198	0.2487484215
199	0.2474131514
200	0.2464663924
201	0.2450603023
202	0.2438898711
203	0.2429260939
204	0.2419721839
205	0.2405740274
206	0.2396245012
207	0.2386634329
208	0.2376002062
209	0.2365505365
210	0.2353666921
211	0.2347374038
212	0.233784135
213	0.2326100305
214	0.2316471586
215	0.2305335745
