iter	Passed	Remaining
0	68	68637
1	69	34620
2	69	23215
3	70	17520
4	70	14115
5	71	11850
6	72	10233
7	72	9018
8	73	8059
9	73	7302
10	74	6672
11	74	6156
12	75	5717
13	75	5332
14	76	5004
15	76	4712
16	77	4464
17	77	4238
18	78	4040
19	78	3855
20	79	3687
21	79	3535
22	80	3400
23	80	3274
24	81	3159
25	81	3051
26	81	2951
27	82	2852
28	82	2766
29	83	2687
30	83	2609
31	84	2542
32	84	2475
33	84	2410
34	85	2351
35	85	2300
36	86	2243
37	86	2192
38	87	2147
39	87	2101
40	88	2058
41	88	2016
42	88	1976
43	89	1938
44	89	1901
45	89	1865
46	90	1832
47	90	1801
48	91	1770
49	91	1741
50	91	1709
51	92	1680
52	92	1652
53	92	1626
54	93	1600
55	93	1577
56	93	1553
57	94	1531
58	94	1510
59	94	1488
60	95	1468
61	95	1448
62	96	1428
63	96	1410
64	96	1393
65	97	1375
66	97	1359
67	98	1345
68	98	1328
69	98	1313
70	99	1299
71	99	1284
72	100	1271
73	100	1257
74	100	1244
75	101	1231
76	101	1220
77	102	1207
78	102	1196
79	102	1183
80	103	1173
81	103	1162
82	104	1152
83	104	1142
84	106	1141
85	106	1132
86	107	1123
87	107	1112
88	107	1103
89	108	1094
90	108	1088
91	109	1081
92	110	1073
93	110	1066
94	110	1056
95	111	1047
96	111	1039
97	112	1031
98	112	1023
99	112	1016
100	113	1009
101	113	1001
102	114	993
103	114	985
104	114	978
105	115	971
106	115	964
107	115	957
108	116	950
109	116	943
110	117	937
111	117	930
112	117	924
113	118	918
114	118	911
115	118	904
116	119	899
117	119	893
118	119	887
119	120	882
120	120	876
121	120	870
122	121	865
123	121	861
124	122	857
125	122	852
126	123	847
127	123	842
128	124	837
129	124	833
130	124	828
131	125	824
132	125	820
133	126	815
134	126	810
135	127	807
136	127	802
137	127	798
138	128	794
139	128	790
140	129	786
141	129	782
142	129	778
143	130	775
144	130	771
145	131	767
146	131	765
147	132	761
148	132	758
149	133	755
150	133	752
151	134	750
152	134	747
153	135	744
154	136	741
155	136	738
156	136	735
157	137	732
158	137	729
159	138	726
160	138	723
161	139	720
162	139	717
163	140	714
164	140	711
165	141	708
166	141	705
167	141	702
168	142	698
169	142	696
170	143	693
171	143	690
172	144	688
173	144	686
174	145	683
175	145	681
176	146	679
177	146	676
178	146	673
179	147	671
180	147	667
181	147	665
182	148	662
183	148	659
184	149	657
185	149	654
186	150	652
187	150	650
188	150	647
189	151	645
190	151	643
191	152	640
192	152	638
193	153	635
194	153	633
195	154	632
196	154	630
197	155	628
198	155	626
199	155	623
200	156	621
201	156	619
202	157	617
203	157	615
204	158	612
205	158	610
206	158	608
207	159	607
208	160	605
209	160	604
210	161	602
211	161	600
212	161	598
213	162	596
214	162	594
215	163	592
216	163	590
217	164	589
218	164	587
219	165	585
220	165	584
221	166	582
222	166	580
223	167	578
224	167	577
225	167	575
226	168	573
227	168	571
228	169	570
229	169	568
230	170	566
231	170	564
232	171	563
233	171	561
234	171	559
235	172	557
236	172	556
237	173	555
238	173	553
239	174	552
240	174	550
241	175	549
242	175	547
243	176	545
244	176	544
245	176	542
246	177	540
247	177	538
248	178	537
249	178	536
250	179	534
251	179	533
252	180	531
253	180	530
254	180	528
255	181	527
256	181	525
257	182	524
258	182	523
259	183	522
260	183	520
261	184	519
262	184	517
263	185	516
264	185	514
265	186	514
266	186	513
267	187	511
268	187	510
269	188	508
270	188	507
271	189	505
272	189	504
273	189	503
274	190	501
275	190	500
276	191	498
277	191	497
278	192	496
279	192	495
280	193	493
281	193	492
282	193	491
283	194	490
284	194	489
285	195	487
286	195	486
287	196	485
288	196	484
289	197	483
290	197	482
291	198	480
292	198	479
293	199	478
294	199	476
295	199	475
296	200	474
297	200	473
298	201	471
299	201	470
300	201	468
301	202	467
302	202	466
303	202	464
304	203	463
305	203	462
306	204	461
307	204	459
308	204	458
309	205	456
310	205	455
311	206	454
312	206	453
313	206	451
314	207	450
315	207	449
316	208	448
317	208	447
318	208	445
319	209	444
320	209	443
321	210	442
322	210	441
323	210	440
324	211	438
325	211	437
326	212	436
327	212	435
328	212	433
329	213	432
330	213	431
331	213	430
332	214	428
333	214	427
334	214	426
335	215	425
336	215	424
337	216	423
338	216	422
339	216	420
340	217	419
341	217	419
342	218	418
343	218	417
344	219	416
345	219	414
346	219	413
347	220	412
348	220	412
349	221	410
350	221	409
351	221	408
352	222	407
353	222	406
354	222	404
355	223	403
356	223	402
357	224	401
358	224	401
359	225	400
360	225	399
361	225	397
362	226	396
363	226	396
364	227	395
365	227	394
366	228	393
367	228	392
368	228	391
369	229	390
370	229	389
371	230	388
372	230	387
373	230	386
374	231	385
375	231	384
376	232	383
377	232	382
378	232	381
379	233	380
380	233	379
381	234	379
382	234	378
383	235	377
384	235	376
385	236	375
386	236	375
387	237	374
388	237	373
389	238	372
390	238	371
391	239	370
392	239	369
393	239	368
394	240	368
395	240	367
396	241	366
397	241	365
398	242	364
399	242	363
400	242	362
401	243	361
402	243	361
403	244	360
404	244	359
405	245	358
406	245	358
407	246	357
408	246	356
409	247	355
410	247	354
411	247	353
412	248	353
413	248	352
414	249	351
415	249	350
416	250	349
417	250	348
418	250	347
419	251	347
420	251	346
421	252	345
422	252	344
423	253	343
424	253	343
425	254	342
426	254	341
427	254	340
428	255	340
429	255	339
430	256	338
431	256	337
432	257	336
433	257	336
434	258	335
435	258	334
436	258	333
437	259	332
438	259	332
439	260	331
440	260	330
441	261	329
442	261	329
443	262	328
444	262	327
445	262	326
446	263	325
447	263	325
448	264	324
449	264	323
450	265	322
451	265	321
452	265	321
453	266	320
454	266	319
455	267	318
456	267	318
457	268	317
458	268	316
459	269	316
460	269	315
461	270	314
462	270	314
463	271	313
464	271	312
465	272	311
466	272	310
467	272	310
468	273	309
469	273	308
470	274	307
471	274	307
472	274	306
473	275	305
474	275	304
475	276	303
476	276	303
477	277	302
478	277	301
479	277	301
480	278	300
481	278	299
482	278	298
483	279	297
484	279	296
485	280	296
486	280	295
487	280	294
488	281	293
489	281	292
490	281	292
491	282	291
492	282	290
493	283	290
494	283	289
495	283	288
496	284	287
497	284	286
498	284	286
499	285	285
