iter	RMSE
0	0.9759788495
1	0.9554940707
2	0.9338353306
3	0.9152324417
4	0.8984055885
5	0.8808683337
6	0.8651875693
7	0.8482389604
8	0.8321451491
9	0.8161947868
10	0.8024842066
11	0.7871945612
12	0.7719633152
13	0.7565736144
14	0.7438031611
15	0.7290312481
16	0.7128639488
17	0.7012279484
18	0.6885824388
19	0.675701269
20	0.6632767689
21	0.6527413633
22	0.6427465973
23	0.6327831224
24	0.6224728846
25	0.6129383029
26	0.6038816693
27	0.5953425233
28	0.5859565262
29	0.576272374
30	0.567507234
31	0.5589508775
32	0.551870789
33	0.5439737216
34	0.5363377638
35	0.5291313708
36	0.5228666268
37	0.5167792081
38	0.5101151712
39	0.5024184539
40	0.4955745836
41	0.4889060462
42	0.4829918259
43	0.4784273097
44	0.472135359
45	0.4674561536
46	0.4628621421
47	0.4572964014
48	0.4521134841
49	0.4467840083
50	0.4416509765
51	0.437692854
52	0.4339284617
53	0.4300873393
54	0.4260915494
55	0.4209938977
56	0.4174386139
57	0.413248799
58	0.4087035844
59	0.4056734314
60	0.4019286456
61	0.3972585757
62	0.3947807038
63	0.391733738
64	0.3885093165
65	0.3855990815
66	0.3820004239
67	0.3791263909
68	0.375776885
69	0.3723506627
70	0.3696155402
71	0.3668441941
72	0.3644445272
73	0.3616949911
74	0.3593885302
75	0.3563454445
76	0.3542667309
77	0.350896571
78	0.3480916363
79	0.3454449175
80	0.3433138187
81	0.3412045244
82	0.3394182192
83	0.3374769099
84	0.3358891522
85	0.3338033191
86	0.3324307438
87	0.3305441261
88	0.3290571687
89	0.3270725369
90	0.3247158341
91	0.3235187237
92	0.3218779211
93	0.3202071552
94	0.3186805842
95	0.3182145163
96	0.3161492271
97	0.314739884
98	0.3137454136
99	0.3122032993
100	0.3110224262
101	0.3097726794
102	0.3086872597
103	0.3076652591
104	0.306520632
105	0.3056666995
106	0.3046149664
107	0.3031253833
108	0.3019576851
109	0.3009289254
110	0.2998803409
111	0.2983689239
112	0.2972961559
113	0.2968174123
114	0.295502685
115	0.2936298772
116	0.2920072481
117	0.2900123198
118	0.2889551855
119	0.2878368376
120	0.2869743829
121	0.2860437747
122	0.2851358125
123	0.2840353873
124	0.2825513453
125	0.281169253
126	0.2801061333
127	0.2784601444
128	0.2777035167
129	0.276659804
130	0.2757755283
131	0.2751491943
132	0.2742847101
133	0.2736191092
134	0.2729885888
135	0.2720917706
136	0.2712160908
137	0.2706964536
138	0.2701644626
139	0.2695273819
140	0.2687743263
141	0.2673358519
142	0.2668377734
143	0.2661095974
144	0.2652399147
145	0.264426555
146	0.2634611536
147	0.2622213968
148	0.2614062054
149	0.2603500451
150	0.2596495737
151	0.2585388734
152	0.257737222
153	0.2572273445
154	0.2564012219
155	0.2553222951
156	0.2545251672
157	0.2533136726
158	0.2519600885
159	0.2514829177
160	0.250279489
161	0.2495743306
162	0.2488352411
163	0.2481419065
