iter	Passed	Remaining
429	1593	2112
430	1596	2107
431	1598	2102
432	1601	2096
433	1603	2091
434	1606	2086
435	1608	2080
436	1610	2075
437	1613	2070
438	1616	2066
439	1619	2060
440	1621	2055
441	1624	2050
442	1626	2045
443	1629	2040
444	1631	2035
445	1638	2035
446	1649	2040
447	1651	2035
448	1655	2031
449	1657	2025
450	1659	2020
451	1662	2015
452	1664	2010
453	1667	2005
454	1669	1999
455	1673	1995
456	1675	1991
457	1678	1986
458	1680	1980
459	1692	1986
460	1694	1981
461	1698	1977
462	1700	1972
463	1703	1967
464	1706	1963
465	1729	1981
466	1731	1976
467	1734	1971
468	1736	1966
469	1739	1961
470	1741	1956
471	1744	1951
472	1746	1946
473	1749	1941
474	1751	1935
475	1753	1930
476	1756	1925
477	1760	1922
478	1763	1918
479	1765	1913
480	1768	1908
481	1770	1903
482	1773	1897
483	1775	1892
484	1777	1887
485	1780	1883
486	1783	1878
487	1785	1873
488	1787	1867
489	1788	1861
490	1791	1857
491	1795	1853
492	1799	1850
493	1802	1846
494	1805	1842
495	1808	1837
496	1810	1832
497	1812	1827
498	1815	1822
499	1817	1817
500	1820	1812
501	1822	1808
502	1825	1803
503	1827	1798
504	1830	1793
505	1833	1789
506	1838	1787
507	1842	1784
508	1845	1779
509	1872	1799
510	1876	1795
511	1879	1791
512	1883	1787
513	1884	1782
514	1887	1777
515	1890	1772
516	1893	1768
517	1896	1764
518	1899	1760
519	1901	1755
520	1906	1752
521	1908	1747
522	1910	1742
523	1913	1737
524	1915	1733
525	1918	1728
526	1920	1723
527	1922	1718
528	1925	1714
529	1927	1709
530	1930	1704
531	1932	1700
532	1934	1695
533	1937	1690
534	1939	1685
535	1941	1680
536	1943	1676
537	1947	1672
538	1950	1668
539	1953	1663
540	1955	1659
541	1958	1655
542	1961	1650
543	1964	1646
544	1966	1641
545	1969	1637
546	1972	1633
547	1974	1628
548	1976	1624
549	1978	1618
550	1980	1613
551	1983	1609
552	1985	1605
553	1988	1600
554	1991	1596
555	1995	1593
556	1998	1589
557	2001	1585
558	2003	1580
559	2006	1576
560	2009	1572
561	2012	1568
562	2015	1564
563	2017	1559
564	2019	1555
565	2022	1550
566	2025	1546
567	2029	1543
568	2033	1540
569	2048	1545
570	2050	1540
571	2052	1536
572	2055	1531
573	2058	1527
574	2060	1523
575	2063	1518
576	2065	1514
577	2068	1509
578	2070	1505
579	2073	1501
580	2076	1497
581	2078	1492
582	2081	1488
583	2084	1485
584	2087	1480
585	2090	1476
586	2093	1472
587	2095	1468
588	2098	1464
589	2100	1459
590	2103	1455
591	2123	1463
592	2125	1459
593	2128	1454
594	2130	1450
595	2133	1446
596	2135	1441
597	2138	1437
598	2141	1433
599	2155	1437
600	2162	1435
601	2164	1431
602	2167	1426
603	2169	1422
604	2172	1418
605	2175	1414
606	2177	1410
607	2180	1405
608	2196	1410
609	2204	1409
610	2206	1405
611	2209	1401
612	2212	1396
613	2215	1392
614	2218	1388
615	2221	1384
616	2224	1380
617	2231	1379
618	2234	1375
619	2237	1371
620	2240	1367
621	2242	1363
622	2247	1360
623	2249	1355
624	2252	1351
625	2254	1347
626	2259	1343
627	2282	1352
628	2285	1348
629	2289	1344
630	2292	1340
631	2295	1336
632	2300	1333
633	2303	1330
634	2306	1325
635	2308	1321
636	2312	1317
637	2314	1313
638	2316	1308
639	2318	1304
640	2321	1300
641	2323	1295
642	2326	1291
643	2329	1287
644	2332	1283
645	2335	1279
646	2338	1275
647	2341	1271
648	2343	1267
649	2346	1263
650	2348	1259
651	2351	1255
652	2354	1251
653	2357	1247
654	2360	1243
655	2362	1239
656	2365	1234
657	2368	1231
658	2371	1227
659	2373	1222
660	2376	1218
661	2379	1214
662	2381	1210
663	2384	1206
664	2386	1202
665	2389	1198
666	2391	1194
667	2398	1191
668	2400	1187
669	2403	1183
670	2406	1179
671	2408	1175
672	2411	1171
673	2414	1167
674	2417	1164
675	2430	1165
676	2433	1160
677	2436	1157
678	2438	1152
679	2440	1148
680	2442	1144
681	2446	1140
682	2449	1136
683	2452	1132
684	2454	1128
685	2457	1124
686	2460	1121
687	2462	1116
688	2465	1112
689	2468	1108
690	2470	1104
691	2473	1100
692	2475	1096
693	2477	1092
694	2480	1088
695	2483	1084
696	2485	1080
697	2489	1077
698	2492	1073
699	2495	1069
700	2498	1065
701	2501	1062
702	2504	1058
703	2507	1054
704	2509	1050
705	2512	1046
706	2515	1042
707	2517	1038
708	2520	1034
709	2522	1030
710	2524	1026
711	2527	1022
712	2529	1018
713	2532	1014
714	2534	1010
715	2537	1006
716	2539	1002
717	2542	998
718	2544	994
