iter	RMSE
0	1.009813391
1	1.001115257
2	0.9895370889
3	0.9784831803
4	0.9703092115
5	0.9620848533
6	0.9508839173
7	0.9412387462
8	0.932327128
9	0.9242951144
10	0.9154657512
11	0.9054350562
12	0.8956736966
13	0.8864426263
14	0.8796807195
15	0.8724463801
16	0.8647354136
17	0.8574432301
18	0.8483293725
19	0.8396393863
20	0.8316184059
21	0.8235329302
22	0.8141341334
23	0.8071651723
24	0.7992837703
25	0.7925322495
26	0.78525687
27	0.7771623699
28	0.7695019281
29	0.7619234234
30	0.7551007063
31	0.7473034322
32	0.7409340795
33	0.7343288772
34	0.727984475
35	0.7225954845
36	0.7150629971
37	0.7085561416
38	0.7029323609
39	0.6961504588
40	0.6895703969
41	0.6834338929
42	0.6776780452
43	0.6708569348
44	0.663569122
45	0.6578164841
46	0.6523140849
47	0.6468900956
48	0.6409737353
49	0.6347266362
50	0.6299709034
51	0.6239440844
52	0.6173234869
53	0.6119212639
54	0.6059517828
55	0.601396667
56	0.5964867223
57	0.5916297142
58	0.5858826855
59	0.5808696428
60	0.5760410081
61	0.5709449093
62	0.5662073213
63	0.5614207152
64	0.5566141131
65	0.5516146708
66	0.5469634361
67	0.5430158965
68	0.5382909693
69	0.5332180415
70	0.5293352128
71	0.5260365581
72	0.5212995198
73	0.5166203411
74	0.5118201803
75	0.5076241633
76	0.5044110288
77	0.5004486565
78	0.4971478248
79	0.4927510523
80	0.4886414333
81	0.4845969631
82	0.4805264739
83	0.4757939821
84	0.4718735256
85	0.4683261955
86	0.4646558977
87	0.4613081189
88	0.4576797202
89	0.4545335891
90	0.4508254722
91	0.4475539417
92	0.4435815359
93	0.4396877012
94	0.4359173815
95	0.432853288
96	0.42962321
97	0.4265207756
98	0.4233910386
99	0.4198369004
100	0.4163786559
101	0.41283569
102	0.4101979266
103	0.4070645378
104	0.4044049584
105	0.4013880668
106	0.3982758447
107	0.3954885048
108	0.3933734613
109	0.3901742091
110	0.3868564602
111	0.3835458294
112	0.3805244375
113	0.3774168722
114	0.3744073125
115	0.371622404
116	0.3690593707
117	0.3661157443
118	0.3636407582
119	0.3612807321
120	0.3584858557
121	0.3559320671
122	0.35382892
123	0.3513612361
124	0.3487161687
125	0.346045502
126	0.3431761947
127	0.3407335743
128	0.3379241369
129	0.3357173638
130	0.3336049815
131	0.3313957491
132	0.3288689865
133	0.3266019456
134	0.3240835846
135	0.321347548
136	0.3188180608
137	0.3167510222
138	0.3144481916
139	0.3125194303
140	0.3104327333
141	0.3083726505
142	0.3058383369
143	0.3040208646
144	0.3021613125
145	0.3002086295
146	0.2981250826
147	0.2960415954
148	0.2942293123
149	0.292390603
150	0.2906230644
151	0.2886173504
152	0.2864447992
153	0.2844173104
154	0.2823005355
155	0.2808092725
156	0.2788139629
157	0.2768691016
158	0.274796487
159	0.2724869635
160	0.2706896698
161	0.2684788086
162	0.2666299689
163	0.2643069687
164	0.2626040979
165	0.26095651
166	0.2591752115
167	0.2573306605
168	0.2556789294
169	0.2535989528
170	0.2519328216
171	0.2504767793
172	0.2487594317
173	0.2472615736
174	0.2458481412
175	0.2438758313
176	0.2424191623
177	0.2406666182
178	0.2389789071
179	0.2374799141
180	0.2357730207
181	0.2343493225
182	0.2328750002
183	0.2312788232
184	0.2299641904
185	0.2284748949
186	0.2269043581
187	0.2254139299
188	0.2235526807
189	0.2222632393
190	0.2207157774
191	0.2191635003
192	0.2177455118
193	0.2159813887
194	0.2144692078
195	0.2129298885
196	0.2114086976
197	0.2102615911
198	0.2086663213
199	0.2072641504
200	0.2056987325
201	0.2042490892
202	0.2027613076
203	0.2012187634
204	0.1998224945
205	0.1982783067
206	0.1967615294
207	0.1953134526
208	0.194100149
209	0.192625473
210	0.1911308617
211	0.1898679737
212	0.1883179314
213	0.1870881116
214	0.1859901171
215	0.1846040569
216	0.1834319631
217	0.1824584533
218	0.1812449907
219	0.1799432314
220	0.1787938241
221	0.17762468
222	0.1763647994
223	0.1753859576
224	0.174418606
225	0.1732254839
226	0.1720700407
227	0.1709453762
228	0.1697300814
229	0.168449117
230	0.1671199056
231	0.1657675721
232	0.1645154917
233	0.1633927777
234	0.1623487896
235	0.1612140763
236	0.1601784369
237	0.1593074206
238	0.1581452592
239	0.1571052799
240	0.1559633252
241	0.1546707732
242	0.15366977
243	0.1524160833
244	0.1514535122
245	0.1503640088
246	0.1494540462
247	0.1484134075
248	0.1474660542
249	0.1464447811
250	0.1456537685
251	0.14466095
252	0.1438570625
253	0.1428608078
254	0.1420085988
255	0.1407913121
256	0.1397491333
257	0.1387186333
258	0.1376627161
259	0.1365243715
260	0.1354930777
261	0.1344345528
262	0.1336757815
263	0.1328672288
264	0.1318099616
265	0.1310249461
266	0.1303123542
267	0.1294932299
268	0.1285624384
269	0.1275846651
270	0.1266620856
271	0.1257883364
272	0.1249694373
273	0.1242068669
274	0.1234849709
275	0.1226252315
276	0.1217512914
277	0.120989966
278	0.1203979187
279	0.1196691188
280	0.1188031703
281	0.1180174504
282	0.1171362423
283	0.1164091549
284	0.1155708701
285	0.1147645552
286	0.1140017913
287	0.1132443673
288	0.1125082856
289	0.1119128132
290	0.111158323
291	0.1104161507
292	0.1098084448
293	0.1091722552
294	0.108398088
295	0.1076174662
296	0.1069241935
297	0.1061886744
298	0.1054409658
299	0.1047817555
300	0.1040385687
301	0.1033228396
302	0.1026372398
303	0.1019253714
304	0.101354688
305	0.1006221255
306	0.09998452645
307	0.0993164493
308	0.09866117501
309	0.09805486941
310	0.09745836648
311	0.09688388822
312	0.09620830085
313	0.09564523201
314	0.09499532406
315	0.09443610042
316	0.09396926199
317	0.09337592726
318	0.0929315873
319	0.09228091086
320	0.09184341013
321	0.09131259821
322	0.09081908631
323	0.09032699937
324	0.08976128748
325	0.08919409695
326	0.08867071915
327	0.08818597469
328	0.08766104823
329	0.08717202511
330	0.08670549751
331	0.08614987903
332	0.08566423611
333	0.08514714823
334	0.08463598112
335	0.08417133321
336	0.08370588745
337	0.08323393317
338	0.08269183338
339	0.08223589614
340	0.08185267498
341	0.08137129856
342	0.08093904459
343	0.08054891155
344	0.08004745043
345	0.07954148863
346	0.07912642145
347	0.07857923621
348	0.07803352603
349	0.07757977165
350	0.07708326899
351	0.07670040037
352	0.07632153278
353	0.07584546861
354	0.07541006517
355	0.07503698643
356	0.07463127528
357	0.07423543164
358	0.07398742944
359	0.07378355084
360	0.0734898198
361	0.0732920816
362	0.07309268981
363	0.07289713612
364	0.07267886191
365	0.0724884368
366	0.0723016762
367	0.07211461098
368	0.07193116319
369	0.07153477985
370	0.07135572726
371	0.0711763415
372	0.07076533378
373	0.07059171241
374	0.07041976551
375	0.07003815785
376	0.06962247981
377	0.06945706609
378	0.06932943792
379	0.06896063325
380	0.06854475949
381	0.06814314669
382	0.06798306975
383	0.06759155137
384	0.06743624062
385	0.06727561338
386	0.06712440505
387	0.0669761376
388	0.06682073734
389	0.06664195947
390	0.06627507306
391	0.06591585606
392	0.06550179416
393	0.06515179247
394	0.06480908007
395	0.0644734929
396	0.06407390892
397	0.06374641439
398	0.06342570317
399	0.06307093681
400	0.06290456538
401	0.06256767719
402	0.06240694137
403	0.06205705191
404	0.06171476192
405	0.06139134478
406	0.06101632225
407	0.0608646073
408	0.06071616443
409	0.06035051404
410	0.05995535095
411	0.05981211202
412	0.05970825612
413	0.05935324915
414	0.05924366146
415	0.05914335134
416	0.05879585184
417	0.05841581152
418	0.05831795649
419	0.05822151181
420	0.05785071452
421	0.05775608101
422	0.05747119076
423	0.05719187383
424	0.05686082752
425	0.05651961557
426	0.05643514295
427	0.0563691073
428	0.05604785201
429	0.05570118128
430	0.05558997679
431	0.05550957186
432	0.05514570129
433	0.05506701197
434	0.05475051544
435	0.05439601092
436	0.05431930595
437	0.05424361351
438	0.05387977422
439	0.05355980452
440	0.05348632094
441	0.05309821428
442	0.05271781874
443	0.05238833027
444	0.05231783732
445	0.05197459778
446	0.05165287621
447	0.0515843419
448	0.05123231408
449	0.05116517645
450	0.05090441431
451	0.05056138202
452	0.05049592915
453	0.05014304206
454	0.05007910066
455	0.04982746563
456	0.04949541665
457	0.04943308176
458	0.04913319157
459	0.04907219384
460	0.04878943765
461	0.0487050615
462	0.04837061577
463	0.0483116089
464	0.04798230515
465	0.04790122549
466	0.04762742902
467	0.04754775131
468	0.04749142806
469	0.04716965211
470	0.04690309887
471	0.04684787496
472	0.0465325297
473	0.04645662598
474	0.04623727681
