iter	Passed	Remaining
0	66	66332
1	67	33451
2	67	22465
3	68	16986
4	68	13664
5	69	11431
6	69	9844
7	70	8684
8	70	7790
9	71	7052
10	71	6449
11	72	5941
12	72	5505
13	72	5136
14	73	4826
15	73	4549
16	74	4302
17	74	4085
18	75	3894
19	75	3720
20	76	3564
21	76	3422
22	77	3289
23	78	3173
24	78	3061
25	79	2961
26	79	2865
27	79	2776
28	80	2696
29	80	2617
30	82	2570
31	82	2502
32	83	2441
33	83	2382
34	84	2328
35	85	2276
36	90	2368
37	91	2316
38	91	2266
39	92	2220
40	92	2173
41	93	2130
42	93	2090
43	94	2050
44	94	2012
45	95	1975
46	95	1941
47	96	1913
48	96	1881
49	97	1852
50	98	1826
51	98	1799
52	99	1774
53	99	1749
54	100	1724
55	100	1702
56	101	1680
57	101	1656
58	102	1634
59	103	1613
60	103	1592
61	103	1572
62	104	1553
63	104	1532
64	105	1515
65	105	1498
66	106	1482
67	107	1466
68	107	1449
69	107	1432
70	108	1415
71	108	1399
72	109	1386
73	109	1371
74	110	1357
75	110	1343
76	111	1331
77	111	1318
78	112	1306
79	112	1293
80	112	1280
81	113	1268
82	113	1258
83	114	1246
84	114	1235
85	115	1225
86	115	1216
87	116	1205
88	116	1194
89	117	1183
90	117	1173
91	117	1163
92	118	1153
93	118	1143
94	119	1134
95	119	1125
96	119	1115
97	120	1107
98	120	1098
99	121	1091
100	121	1082
101	122	1075
102	122	1067
103	123	1059
104	123	1052
105	124	1046
106	124	1040
107	125	1032
108	125	1025
109	126	1019
110	126	1012
111	126	1006
112	127	1001
113	128	996
114	128	989
115	129	985
116	129	978
117	130	973
118	130	968
119	131	963
120	131	958
121	132	952
122	132	946
123	133	942
124	133	936
125	134	930
126	134	925
127	135	920
128	135	915
129	136	910
130	136	905
131	137	901
132	137	896
133	138	897
134	139	892
135	139	888
136	140	883
137	140	878
138	141	874
139	141	870
140	142	865
141	142	860
142	142	856
143	143	853
144	143	848
145	144	844
146	144	841
147	145	838
148	150	862
149	151	858
150	151	854
151	152	849
152	152	846
153	153	841
154	153	838
155	154	834
156	154	831
157	155	827
158	155	824
159	156	821
160	156	817
161	157	813
162	157	809
163	158	805
164	158	802
165	159	799
166	159	796
167	160	793
168	160	789
169	161	786
170	161	783
171	162	780
172	162	777
173	163	775
174	163	772
175	164	769
176	164	766
177	165	762
178	165	760
179	166	757
180	166	754
181	167	752
182	168	750
183	168	747
184	168	744
185	169	741
186	169	738
187	170	735
188	170	733
189	171	730
190	172	728
191	172	725
192	172	723
193	173	720
194	174	718
195	174	715
196	175	713
197	175	711
198	176	708
199	176	705
200	177	703
201	177	701
202	177	698
203	178	695
204	179	694
205	179	692
206	180	690
207	180	687
208	181	685
209	181	683
210	182	680
211	182	678
212	182	675
213	183	674
214	184	671
215	184	669
216	185	667
217	185	666
218	186	663
219	186	661
220	187	659
221	187	658
222	188	656
223	189	654
224	189	653
225	190	651
226	190	649
227	191	647
228	191	645
229	192	644
230	193	642
231	193	641
232	194	639
233	194	637
234	195	635
235	195	633
236	196	631
237	196	630
238	197	628
239	197	626
240	198	625
241	198	623
242	199	621
243	199	619
244	200	617
245	200	615
246	201	613
247	201	611
248	202	609
249	202	608
250	203	606
251	203	604
252	204	602
253	204	601
254	205	599
255	205	597
256	205	595
257	206	593
258	207	592
259	207	590
260	207	588
261	208	586
262	208	585
263	209	583
264	209	581
265	209	579
266	210	577
267	210	575
268	211	573
269	211	572
270	212	570
271	212	568
272	212	566
273	213	564
274	213	563
275	214	561
276	214	560
277	215	558
278	215	557
279	216	555
280	216	553
281	216	552
282	217	550
283	217	549
284	218	547
285	218	546
286	219	544
287	219	543
288	220	542
289	220	540
290	221	538
291	221	537
292	221	535
293	222	533
294	222	532
295	223	531
296	223	529
297	224	528
298	224	527
299	225	526
300	225	524
301	226	523
302	226	521
303	227	520
304	227	519
305	228	517
306	228	516
307	229	515
308	229	514
309	230	512
310	231	511
311	231	510
312	232	509
313	232	508
314	233	506
315	233	505
316	233	503
317	234	502
318	234	501
319	235	500
320	236	499
321	236	498
322	236	496
323	237	495
324	237	494
325	238	493
326	238	491
327	239	490
328	239	488
329	240	487
330	240	486
331	240	484
332	241	483
333	241	482
334	242	480
335	242	479
336	242	477
337	243	476
338	243	475
339	244	473
340	244	472
341	244	471
342	245	469
343	245	468
344	246	467
345	247	467
346	247	466
347	248	465
348	248	463
349	249	462
350	249	461
351	249	460
352	250	458
353	250	457
354	251	456
355	251	455
356	252	454
357	252	453
358	253	452
359	253	451
360	254	450
361	254	449
362	255	448
363	255	446
364	256	445
365	256	444
366	257	443
367	257	442
368	258	441
369	258	440
370	259	439
371	259	438
372	259	436
373	260	435
374	260	434
375	261	433
376	262	432
377	262	431
378	263	431
379	263	430
380	264	429
381	264	428
382	265	427
383	265	425
384	266	425
385	266	424
386	267	423
387	267	422
388	268	421
389	268	420
390	269	419
391	269	418
392	269	416
393	270	415
394	270	414
395	271	413
396	271	412
397	271	411
398	272	410
399	272	409
400	273	408
401	273	406
402	273	405
403	274	404
404	274	403
405	275	402
406	275	401
407	275	400
408	276	400
409	278	400
410	279	399
411	279	398
412	280	397
413	280	397
414	280	396
415	281	395
416	282	394
417	282	393
418	283	392
419	283	391
420	284	390
421	284	389
422	285	388
423	285	388
424	286	387
425	286	386
426	287	385
427	287	384
428	288	383
429	288	382
430	289	382
431	290	381
432	290	380
433	291	379
434	291	378
435	292	377
436	292	376
437	293	375
438	293	374
439	293	374
440	294	373
441	294	372
442	295	372
443	296	371
444	296	370
445	297	369
446	297	368
447	298	367
448	298	366
449	300	367
450	301	366
451	301	365
452	302	364
453	302	363
454	302	362
455	303	362
456	304	361
457	304	360
458	305	359
459	305	358
460	305	357
461	306	356
462	306	355
463	307	355
464	307	354
465	308	353
466	308	352
467	309	351
468	310	351
469	310	350
470	310	349
471	311	348
472	312	347
473	312	346
474	313	346
475	313	345
476	314	344
477	314	343
478	315	342
479	315	341
480	316	341
481	316	340
482	316	339
483	317	338
484	317	337
485	318	336
486	318	335
487	319	334
488	319	333
489	320	333
490	320	332
491	320	331
492	321	330
493	322	329
494	322	328
495	322	328
496	323	327
497	323	326
498	324	325
499	324	324
500	325	323
501	325	323
502	326	322
503	326	321
504	327	320
505	327	319
506	327	318
507	328	318
508	329	317
509	329	316
510	329	315
511	330	314
512	330	314
513	331	313
514	331	312
515	331	311
516	332	310
517	332	309
518	333	308
519	333	307
520	333	307
521	334	306
522	335	305
523	335	304
524	335	303
525	336	303
526	336	302
527	337	301
528	337	300
529	338	300
530	338	299
531	339	298
532	339	297
533	340	296
534	340	296
535	341	295
536	341	294
537	342	293
538	342	293
539	343	292
540	343	291
541	344	290
542	344	289
543	344	289
544	345	288
545	345	287
546	346	286
547	346	286
548	347	285
549	347	284
550	348	283
551	348	283
552	349	282
553	349	281
554	350	280
555	350	279
556	350	279
557	351	278
558	351	277
559	352	276
560	352	275
561	353	275
562	353	274
563	354	273
564	354	272
565	355	272
566	355	271
567	356	270
568	356	270
569	357	269
570	357	268
571	358	267
572	358	267
573	359	266
574	359	265
575	360	265
576	365	268
577	366	267
578	366	266
579	367	265
580	367	265
581	368	264
582	368	263
583	369	263
584	370	262
585	370	261
586	371	261
587	371	260
588	372	259
589	372	258
590	373	258
591	373	257
592	374	256
593	374	256
594	375	255
595	375	254
596	375	253
597	376	253
598	376	252
599	377	251
600	378	251
601	379	250
602	379	249
603	379	249
604	380	248
605	380	247
606	381	247
607	382	246
608	382	245
609	382	244
610	383	244
611	383	243
612	384	242
613	384	241
614	385	241
615	385	240
616	386	239
617	386	238
618	387	238
619	387	237
620	387	236
621	388	235
622	388	235
623	389	234
624	389	233
625	390	233
626	390	232
627	391	231
628	391	230
629	392	230
630	392	229
631	392	228
632	393	227
633	393	227
634	394	226
635	394	225
636	394	224
637	395	224
638	395	223
639	396	222
640	396	222
641	397	221
642	397	220
643	398	220
644	398	219
645	399	218
646	399	218
647	400	217
648	400	216
649	401	216
650	402	215
651	402	214
652	402	214
653	403	213
654	403	212
655	404	212
656	404	211
657	405	210
658	405	209
659	406	209
660	407	208
661	408	208
662	408	207
663	409	207
664	409	206
665	410	205
666	410	204
667	411	204
668	411	203
669	412	202
670	412	202
671	412	201
672	413	200
673	413	200
674	414	199
675	414	198
676	415	198
677	415	197
678	416	196
679	416	196
680	417	195
681	417	194
682	418	194
683	418	193
684	419	192
685	419	192
686	420	191
687	420	190
688	421	190
689	421	189
690	421	188
691	422	188
692	422	187
693	423	186
694	423	185
695	424	185
696	424	184
697	424	183
698	425	183
699	426	182
700	426	182
701	427	181
702	427	180
703	428	180
704	428	179
705	429	178
706	429	178
707	430	177
708	430	176
709	431	176
710	431	175
711	431	174
712	432	173
713	432	173
714	433	172
715	433	171
716	434	171
717	434	170
718	435	170
719	435	169
720	435	168
721	436	168
722	436	167
723	437	166
724	437	166
725	438	165
726	438	164
727	439	164
728	439	163
729	440	162
730	440	162
731	441	161
732	441	160
733	442	160
734	442	159
735	442	158
736	443	158
737	443	157
738	444	156
739	444	156
740	445	155
741	445	154
742	446	154
743	446	153
744	447	153
745	447	152
746	448	151
747	448	151
748	449	150
749	449	149
750	450	149
751	450	148
752	451	147
753	451	147
754	452	146
755	452	146
756	452	145
757	453	144
758	453	144
759	454	143
760	454	142
761	454	142
762	455	141
763	455	140
764	456	140
765	456	139
766	456	138
767	457	138
768	457	137
769	458	136
770	458	136
771	459	135
772	459	134
773	460	134
774	460	133
775	460	133
776	461	132
777	461	131
778	462	131
779	462	130
780	463	129
781	463	129
782	463	128
783	464	127
784	465	127
785	465	126
786	466	126
787	466	125
788	467	124
789	467	124
790	468	123
791	468	123
792	469	122
793	469	121
794	470	121
795	470	120
796	471	120
797	471	119
798	472	118
799	472	118
800	473	117
801	473	116
802	474	116
803	474	115
804	475	115
805	476	114
806	477	114
807	477	113
808	478	112
809	478	112
810	479	111
811	479	110
812	479	110
813	480	109
814	480	109
815	481	108
816	481	107
817	482	107
818	482	106
819	482	106
820	483	105
821	483	104
822	484	104
823	484	103
824	485	102
825	485	102
826	485	101
827	486	101
828	486	100
829	487	99
830	487	99
831	487	98
832	488	97
833	488	97
834	489	96
835	489	96
836	489	95
837	490	94
838	490	94
839	491	93
840	491	92
841	492	92
842	492	91
843	493	91
844	493	90
845	494	89
846	494	89
847	495	88
848	495	88
849	496	87
850	496	86
851	496	86
852	497	85
853	497	85
854	498	84
855	498	83
856	499	83
857	499	82
858	500	82
859	500	81
860	501	80
861	501	80
862	502	79
863	502	79
864	503	78
865	503	77
866	503	77
867	504	76
868	504	76
869	505	75
870	505	74
871	506	74
872	506	73
873	507	73
874	507	72
875	508	71
876	508	71
877	509	70
878	509	70
879	510	69
880	510	68
881	511	68
882	511	67
883	512	67
884	512	66
885	513	66
886	513	65
887	514	64
888	514	64
889	521	64
890	522	63
891	522	63
892	523	62
893	523	62
894	524	61
895	524	60
896	525	60
897	526	59
898	526	59
899	527	58
900	527	57
901	528	57
902	528	56
903	528	56
904	529	55
905	529	54
906	530	54
907	530	53
908	531	53
909	531	52
910	532	52
911	533	51
912	533	50
913	534	50
914	534	49
915	535	49
916	535	48
917	535	47
918	536	47
919	537	46
920	537	46
921	538	45
922	538	44
923	539	44
924	539	43
925	540	43
926	540	42
927	541	42
928	542	41
929	542	40
930	543	40
931	543	39
932	544	39
933	544	38
934	545	37
935	546	37
936	546	36
937	547	36
938	547	35
939	548	35
940	548	34
941	549	33
942	549	33
943	550	32
944	550	32
945	551	31
946	551	30
947	552	30
948	553	29
949	553	29
950	554	28
951	554	27
952	555	27
953	555	26
954	555	26
955	556	25
956	557	25
957	557	24
958	558	23
959	558	23
960	559	22
961	559	22
962	560	21
963	560	20
964	561	20
965	561	19
966	562	19
967	562	18
968	562	18
969	563	17
970	563	16
971	564	16
972	565	15
973	565	15
974	566	14
975	566	13
976	566	13
977	567	12
978	567	12
979	568	11
980	568	11
981	569	10
982	569	9
983	570	9
984	570	8
985	571	8
986	571	7
987	571	6
988	572	6
989	572	5
990	573	5
991	574	4
992	574	4
993	575	3
994	575	2
995	580	2
996	580	1
997	581	1
998	581	0
999	582	0
